	Query_Name	Ref_Name	Position	Strand	Alignment_Score
0	CP038996.1_4875_1_1_0_0_0_0:1:0_0:0:0_0	CP038996.1	40	-	1.0
1	CP038996.1_24614_1_1_0_0_0_1:1:0_0:0:0_1	CP038996.1	20	-	2.0
2	CP038996.1_11688_1_1_0_0_0_1:0:0_0:0:0_2	CP038996.1	10	-	1.0
3	CP038996.1_38679_1_1_0_0_0_2:2:0_0:0:0_3	CP038996.1	4	-	4.0
4	CP038996.1_32101_1_0_1_0_0_2:1:0_0:0:0_4	CP038996.1	9	+	3.0
5	CP038996.1_23775_1_0_1_0_0_2:1:0_0:0:0_5	CP038996.1	19	+	3.0
6	CP038996.1_26869_1_0_1_0_0_1:0:0_0:0:0_6	CP038996.1	12	+	1.0
7	CP038996.1_25349_1_1_0_0_0_5:2:0_0:0:0_7	CP038996.1	41	-	7.0
8	CP038996.1_22394_1_1_0_0_0_1:0:0_0:0:0_8	CP038996.1	35	-	1.0
9	CP038996.1_40329_1_1_0_0_0_1:0:0_0:0:0_9	CP038996.1	13	-	1.0
10	CP038996.1_48101_1_0_1_0_0_1:1:0_0:0:0_a	CP038996.1	11	+	2.0
11	CP038996.1_10968_1_0_1_0_0_3:2:0_0:0:0_b	CP038996.1	16	+	5.0
12	CP038996.1_25325_1_1_0_0_0_1:1:0_0:0:0_c	CP038996.1	2	-	2.0
13	CP038996.1_16271_1_0_1_0_0_1:1:0_0:0:0_d	CP038996.1	5	+	2.0
14	CP038996.1_26511_1_0_1_0_0_0:0:0_0:0:0_e	CP038996.1	13	+	0.0
15	CP038996.1_8010_1_0_1_0_0_2:2:0_0:0:0_f	CP038996.1	13	+	4.0
16	CP038996.1_16272_1_1_0_0_0_0:1:0_0:0:0_10	CP038996.1	4	-	1.0
17	CP038996.1_43990_1_1_0_0_0_0:2:0_0:0:0_11	CP038996.1	6	-	2.0
18	CP038996.1_236_1_1_0_0_0_4:1:0_0:0:0_12	CP038996.1	17	-	5.0
19	CP038996.1_45370_1_0_1_0_0_0:2:0_0:0:0_13	CP038996.1	12	+	2.0
20	CP038996.1_18666_1_1_0_0_0_1:0:0_0:0:0_14	CP038996.1	25	-	1.0
